Line,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
3913,4101,223,223,Standby - SPM,Standby - SPM,RD,RD,38:11:00
3914,RD,RD,45,Standby - SPE,7,Standby - SPE,Standby - SPE,37:47:00
3915,Standby - SPL,424,RD,RD,Standby - SPL,431,Standby - SPL, 38:51
3916,RD,"221
","213
",Standby - SPM,RD,117,Standby - SPM,39:15:00
Line,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
3917,4011,56,Standby - SPE,60,41,RD,RD,39:47:00
3918,RD,RD,553,Standby - SPZ,Standby - SPZ,430,2525,38:13:00
3919,RD,Standby - SPM,RD,Standby - SPM,225,208,Standby - SPM, 38:32
3920,RD,Standby - SPE,Standby - SPE,37,RD,60,2041,39:25:00
3921,Standby - SPL,Standby - SPZ,401,Standby - SPL,Standby - SPL,RD,RD,36:42:00
3922,RD,RD,217,203,224,155,Standby - SPM, 39:05
3923,4007,58,RD,61,40,Standby - SPE,RD,39:12:00
3924,RD,Standby - SPL,Standby - SPZ,Standby - SPZ,RD,522,Standby - SPZ,38:40:00
3925,4109,226,224,207,Standby - SPM,RD,RD,38:31:00
3926,RD,RD,55,52,2,56,2038, 39:21
3927,RD,Standby - SPL,Standby - SPZ,RD,Standby - SPL,521,"Standby - SPZ
",38:33:00
3928,4141,111,RD,RD,Standby - SPS,222,Standby - SPM,Paid Time: 39:49
3929,4013,42,RD,50,49,Standby - SPE,RD,39:30:00
Line,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
3930,RD,Standby - SPZ,Standby - SPL,Standby - SPZ,RD,Standby - SPL,Standby - SPZ,38:00:00
3931,4139,216,RD,Standby - SPM,220,203,RD,38:46:00
3932,RD,45,9,29,RD,38,2044,39:04:00
3933,4533,Standby - SPZ,Standby - SPZ,Standby - SPL,Standby - SPL,RD,RD,38:49:00
3934,RD,RD,155,Standby - SPS,Standby - SPS,153,2150,38:24:00
3935,RD,36,60,RD,37,48,Standby - SPE,39:52:00
3936,RD,418,519,Standby - SPZ,RD,Standby - SPL,Standby - SPZ,38:29:00
3937,4107,227,221,Standby - SPM,Standby - SPM,RD,RD,38:38:00
3938,RD,RD,58,41,36,8,Standby - SPE,38:44:00
3939,4525,417,RD,RD,Standby - SPL,429,2524,39:22:00
3940,RD,222,202,Standby - SPM,RD,118,Standby - SPM,38:29:00
3941,4018,51,Standby - SPE,40,34,RD,RD,39:19:00
3942,RD,RD,Standby - SPZ,Standby - SPL,428,513,Standby - SPL,38:35:00
Line,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
3943,RD,151,RD,229,221,219,Standby - SPM,38:35:00
3944,RD,Standby - SPE,32,59,RD,30,2048,39:41:00
